name,date,year,Short Date,month_name,month_number,day_of_month,day_of_week,Weekday/Weekend,Week Number,notes,date_raw
National Bloody Mary Day,2025-01-01,2025,01-01-2025,January,1,1,Wednesday,Weekday,1,,2025-01-01
National Buffet Day,2025-01-02,2025,02-01-2025,January,1,2,Thursday,Weekday,1,,2025-01-02
National Cream Puff Day,2025-01-02,2025,02-01-2025,January,1,2,Thursday,Weekday,1,,2025-01-02
Fruitcake Toss Day,2025-01-03,2025,03-01-2025,January,1,3,Friday,Weekday,1,,2025-01-03
National Chocolate Covered Cherry Day,2025-01-03,2025,03-01-2025,January,1,3,Friday,Weekday,1,,2025-01-03
National Spaghetti Day,2025-01-04,2025,04-01-2025,January,1,4,Saturday,Weekend,1,,2025-01-04
National Whipped Cream Day,2025-01-05,2025,05-01-2025,January,1,5,Sunday,Weekend,1,,2025-01-05
Apple Tree Day,2025-01-06,2025,06-01-2025,January,1,6,Monday,Weekday,2,,2025-01-06
National Bean Day,2025-01-06,2025,06-01-2025,January,1,6,Monday,Weekday,2,,2025-01-06
National Shortbread Day,2025-01-06,2025,06-01-2025,January,1,6,Monday,Weekday,2,,2025-01-06
National Tempura Day,2025-01-07,2025,07-01-2025,January,1,7,Tuesday,Weekday,2,,2025-01-07
National English Toffee Day,2025-01-08,2025,08-01-2025,January,1,8,Wednesday,Weekday,2,,2025-01-08
National Apricot Day,2025-01-09,2025,09-01-2025,January,1,9,Thursday,Weekday,2,,2025-01-09
Bittersweet Chocolate Day,2025-01-10,2025,10-01-2025,January,1,10,Friday,Weekday,2,,2025-01-10
National Milk Day (the day milk deliveries in bottles began in the US),2025-01-11,2025,11-01-2025,January,1,11,Saturday,Weekend,2,,2025-01-11
Curried Chicken Day,2025-01-12,2025,12-01-2025,January,1,12,Sunday,Weekend,2,,2025-01-12
National Marzipan Day,2025-01-12,2025,12-01-2025,January,1,12,Sunday,Weekend,2,,2025-01-12
National Peach Melba Day,2025-01-13,2025,13-01-2025,January,1,13,Monday,Weekday,3,,2025-01-13
National Hot Pastrami Sandwich Day,2025-01-14,2025,14-01-2025,January,1,14,Tuesday,Weekday,3,,2025-01-14
Strawberry Ice Cream Day,2025-01-15,2025,15-01-2025,January,1,15,Wednesday,Weekday,3,,2025-01-15
International Hot & Spicy Food Day,2025-01-16,2025,16-01-2025,January,1,16,Thursday,Weekday,3,,2025-01-16
National Fig Newton Day,2025-01-16,2025,16-01-2025,January,1,16,Thursday,Weekday,3,,2025-01-16
National Bootlegger's Day,2025-01-17,2025,17-01-2025,January,1,17,Friday,Weekday,3,,2025-01-17
National Hot Buttered Rum Day,2025-01-17,2025,17-01-2025,January,1,17,Friday,Weekday,3,,2025-01-17
